Latitude,Longitude,MedInc
32.71,-117.03,3.2596
33.77,-118.16,3.8125
34.66,-120.48,4.1563
32.69,-117.11,1.9425
36.78,-119.8,3.5542
37.42,-121.86,6.6227
34.04,-117.97,2.5192
37.91,-122.53,7.9892
34.13,-117.9,1.5
34.02,-117.79,6.4266
37.72,-122.45,4.2167
33.97,-118.35,2.2303
37.46,-119.72,2.875
37.33,-121.88,2.0972
34.18,-118.34,2.8125
33.89,-118.23,3.1667
36.67,-121.65,2.8924
38.03,-121.34,4.4063
34.32,-118.43,4.2330000000000005
33.93,-118.28,1.4329
34.16,-117.34,2.1935
37.24,-121.98,8.5425
38.94,-123.15,2.7171
33.98,-118.28,1.575
40.89,-122.31,2.2583
37.89,-122.28,5.4171
39.48,-121.57,0.8252
34.08,-118.26,3.5039
33.8,-118.07,3.8792
36.06,-120.79,2.4881
33.12,-117.07,2.7216
34.55,-118.01,4.071000000000001
33.99,-118.4,2.825
34.08,-118.06,2.5119
32.79,-117.01,3.4421
33.88,-118.11,3.5893
40.66,-122.36,2.0119
33.97,-118.21,3.1901
33.86,-118.06,5.0778
33.65,-117.92,0.9702
34.1,-118.47,11.1978
34.1,-118.03,3.94
33.93,-117.41,4.0156
33.97,-118.38,6.019
33.76,-118.02,3.6289
32.95,-117.05,3.2369
38.55,-121.51,2.8417
33.91,-118.07,3.1957
33.6,-117.7,3.1131
34.17,-118.14,4.0524
34.07,-118.26,2.4038
37.94,-122.07,4.475
39.76,-121.65,3.0
32.77,-117.01,2.6678
34.06,-118.35,3.2411
33.5,-117.7,8.7591
37.82,-122.08,11.3421
33.9,-118.24,1.2083
34.04,-118.36,2.7917
32.8,-117.24,2.9258
32.72,-117.14,2.0529
34.18,-118.14,3.3068
38.96,-122.63,1.75
36.66,-118.96,3.1964
37.56,-122.27,5.6936
34.15,-118.23,5.3369
33.68,-117.89,3.3409
33.99,-118.32,1.9779
33.77,-118.18,1.1483
33.98,-117.47,4.9886
37.32,-122.27,5.3951
33.81,-118.18,1.75
32.75,-117.09,1.2286
37.38,-121.85,5.2415
38.61,-121.32,2.774
37.97,-121.25,1.7895
33.84,-117.93,3.2301
34.88,-117.13,2.3373
33.95,-118.14,3.6635
36.97,-122.13,4.7188
34.06,-118.06,2.5763
37.86,-122.27,2.6914
34.19,-118.47,5.0929
38.71,-121.44,3.5129
37.99,-121.79,5.7321
34.02,-118.17,2.45
32.75,-117.16,2.9705
34.1,-118.29,2.9417
38.11,-122.6,5.3962
37.81,-121.99,4.9018
33.78,-117.91,3.045
37.8,-121.21,1.4853
38.03,-121.25,6.6605
34.05,-118.49,7.0285
33.63,-117.67,4.4063
33.67,-118.0,4.8125
33.99,-117.37,1.685
36.73,-119.79,1.975
38.13,-121.29,5.0
33.83,-118.19,6.4468
34.61,-120.16,3.0185
37.4,-120.84,2.6214
32.76,-117.18,2.6493
33.14,-117.08,3.5462
37.85,-122.24,4.9643
40.89,-124.01,2.4559
40.77,-122.96,3.2891
33.86,-118.27,3.7466
36.55,-121.91,5.7248
37.71,-121.96,7.2494
34.1,-118.18,4.9231
33.73,-117.81,3.5719
33.77,-118.15,3.5292
37.48,-122.23,2.7969
38.37,-121.98,2.8438
37.96,-121.7,3.2813
33.67,-117.33,1.9194
38.01,-122.24,6.0102
37.36,-121.98,4.5625
38.52,-121.47,1.2575
33.61,-117.89,5.0
33.79,-117.76,8.2653
37.75,-122.41,4.2891
